Example,Mood,Recommendation
"Bored and a bit anxious, I guess.",Bored,Iyengar Yoga
"Honestly, no clue, but maybe bored.",Bored,Iyengar Yoga
"coffee first, then bored mood",Bored,Iyengar Yoga
"bored-ish, or not?",Bored,Iyengar Yoga
"Ugh, IDK maybe bored 😞",Bored,Iyengar Yoga
"bored-ish, or not?",Bored,Iyengar Yoga
Just bored vibes rn...,Bored,Iyengar Yoga
bored 🤔 but can't tell for sure.,Bored,Iyengar Yoga
bored 🤔 but can't tell for sure.,Bored,Iyengar Yoga
Feeling sooo bored right now!,Bored,Iyengar Yoga
"Probably bored, not sure though.",Bored,Iyengar Yoga
"bit bored, bit something else...",Bored,Iyengar Yoga
Sorta bored... does that count?,Bored,Iyengar Yoga
"bit bored, bit something else...",Bored,Iyengar Yoga
"helppp, bored mood I think?",Bored,Iyengar Yoga
"Probably bored, not sure though.",Bored,Iyengar Yoga
"bit bored, bit something else...",Bored,Iyengar Yoga
feelin' kinda bored today,Bored,Iyengar Yoga
"Bored and a bit anxious, I guess.",Bored,Iyengar Yoga
Kinda bored and excited at once.,Bored,Iyengar Yoga
"bored-ish, or not?",Bored,Iyengar Yoga
"IDK what I feel rn, maybe bored?",Bored,Iyengar Yoga
"Honestly, no clue, but maybe bored.",Bored,Iyengar Yoga
"Ugh, IDK maybe bored 😞",Bored,Iyengar Yoga
Sorta bored... does that count?,Bored,Iyengar Yoga
"Honestly, no clue, but maybe bored.",Bored,Iyengar Yoga
"Honestly, no clue, but maybe bored.",Bored,Iyengar Yoga
Kinda bored and excited at once.,Bored,Iyengar Yoga
"Probably bored, not sure though.",Bored,Iyengar Yoga
Sorta bored... does that count?,Bored,Iyengar Yoga
Feeling sooo bored right now!,Bored,Iyengar Yoga
"coffee first, then bored mood",Bored,Iyengar Yoga
bored 🤔 but can't tell for sure.,Bored,Iyengar Yoga
"Bored and a bit anxious, I guess.",Bored,Iyengar Yoga
Just bored vibes rn...,Bored,Iyengar Yoga
"helppp, bored mood I think?",Bored,Iyengar Yoga
Sorta bored... does that count?,Bored,Iyengar Yoga
"IDK, but it feels bored somehow.",Bored,Iyengar Yoga
Feeling sooo bored right now!,Bored,Iyengar Yoga
"IDK, but it feels bored somehow.",Bored,Iyengar Yoga
"Probably bored, not sure though.",Bored,Iyengar Yoga
"Ugh, IDK maybe bored 😞",Bored,Iyengar Yoga
"bit bored, bit something else...",Bored,Iyengar Yoga
"Honestly, no clue, but maybe bored.",Bored,Iyengar Yoga
"bored-ish, or not?",Bored,Iyengar Yoga
"coffee first, then bored mood",Bored,Iyengar Yoga
"Honestly, no clue, but maybe bored.",Bored,Iyengar Yoga
Kinda bored and excited at once.,Bored,Iyengar Yoga
Just bored vibes rn...,Bored,Iyengar Yoga
Kinda bored and excited at once.,Bored,Iyengar Yoga
"Honestly, no clue, but maybe bored.",Bored,Iyengar Yoga
Somewhere between bored and fine.,Bored,Iyengar Yoga
Feeling sooo bored right now!,Bored,Iyengar Yoga
bored ??? not sure tho.,Bored,Iyengar Yoga
"helppp, bored mood I think?",Bored,Iyengar Yoga
"IDK what I feel rn, maybe bored?",Bored,Iyengar Yoga
Kinda bored and excited at once.,Bored,Iyengar Yoga
"Probably bored, not sure though.",Bored,Iyengar Yoga
"bored-ish, or not?",Bored,Iyengar Yoga
"Ugh, IDK maybe bored 😞",Bored,Iyengar Yoga
"Bored and a bit anxious, I guess.",Bored,Iyengar Yoga
Feeling bored but also okay.,Bored,Iyengar Yoga
"bored-ish, or not?",Bored,Iyengar Yoga
I’m feeling kind of restless right now,Bored,Iyengar Yoga
I don’t know what to do with myself,Bored,Iyengar Yoga
Everything feels so dull at the moment,Bored,Iyengar Yoga
I’ve got nothing to occupy my mind,Bored,Iyengar Yoga
I’m just sitting here bored out of my mind,Bored,Iyengar Yoga
It feels like there’s nothing interesting going on,Bored,Iyengar Yoga
I don’t have any motivation today,Bored,Iyengar Yoga
I wish something exciting would happen right now,Bored,Iyengar Yoga
I’m just waiting for something to change,Bored,Iyengar Yoga
Everything feels slow and monotonous,Bored,Iyengar Yoga
I can’t seem to focus on anything,Bored,Iyengar Yoga
I’m feeling a bit uninterested in everything,Bored,Iyengar Yoga
I just can’t seem to get engaged in anything,Bored,Iyengar Yoga
I don’t know what to do to pass the time,Bored,Iyengar Yoga
I feel like I’ve run out of things to do,Bored,Iyengar Yoga
Nothing seems exciting to me right now,Bored,Iyengar Yoga
I’m feeling really unenthusiastic today,Bored,Iyengar Yoga
Everything feels boring and repetitive,Bored,Iyengar Yoga
I’m just here with nothing to look forward to,Bored,Iyengar Yoga
I feel like I’m just wasting time,Bored,Iyengar Yoga
I can’t seem to find anything fun,Bored,Iyengar Yoga
It’s hard to stay motivated right now,Bored,Iyengar Yoga
I just feel like nothing is holding my interest,Bored,Iyengar Yoga
I’m not feeling inspired today,Bored,Iyengar Yoga
I feel like I’m stuck in a loop of boredom,Bored,Iyengar Yoga
I’ve run out of things to try,Bored,Iyengar Yoga
I’m feeling kind of uninspired right now,Bored,Iyengar Yoga
There’s just nothing that’s catching my attention,Bored,Iyengar Yoga
I’m feeling a bit disconnected and bored,Bored,Iyengar Yoga
I don’t know how to break free from this boredom,Bored,Iyengar Yoga
I just can’t get excited about anything today,Bored,Iyengar Yoga
I feel a little detached from everything right now,Bored,Iyengar Yoga
Nothing seems to spark my interest at the moment,Bored,Iyengar Yoga
I feel restless but don’t know what to do about it,Bored,Iyengar Yoga
I’m just going through the motions today,Bored,Iyengar Yoga
I can’t seem to find anything that excites me,Bored,Iyengar Yoga
I feel like I’ve exhausted all my options,Bored,Iyengar Yoga
It’s like everything around me is just dull,Bored,Iyengar Yoga
I’m waiting for something interesting to happen,Bored,Iyengar Yoga
I don’t have any energy to do anything right now,Bored,Iyengar Yoga
I feel drained and uninterested in anything,Bored,Iyengar Yoga
I’m in the mood for something new but can’t find it,Bored,Iyengar Yoga
I can’t seem to shake this feeling of boredom,Bored,Iyengar Yoga
Everything feels like a chore at this moment,Bored,Iyengar Yoga
I feel like I need something to engage me,Bored,Iyengar Yoga
I don’t know what to do with my time,Bored,Iyengar Yoga
I can’t seem to get excited about anything today,Bored,Iyengar Yoga
I feel stuck in a rut right now,Bored,Iyengar Yoga
Nothing seems worth my attention today,Bored,Iyengar Yoga
I’m feeling totally uninspired,Bored,Iyengar Yoga
I just can’t get into anything right now,Bored,Iyengar Yoga
I feel like I’m wasting my time,Bored,Iyengar Yoga
I don’t know how to fill my day,Bored,Iyengar Yoga
I’m not sure what to do to break this boredom,Bored,Iyengar Yoga
I’m struggling to find something that excites me,Bored,Iyengar Yoga
Everything feels boring right now,Bored,Iyengar Yoga
I’m just looking for something to spark my interest,Bored,Iyengar Yoga
I feel like I’ve exhausted all my ideas,Bored,Iyengar Yoga
I can’t get motivated for anything today,Bored,Iyengar Yoga
I just want something to break up the monotony,Bored,Iyengar Yoga
I feel so detached and bored,Bored,Iyengar Yoga
I’m in need of something stimulating,Bored,Iyengar Yoga
Nothing seems to get my attention at the moment,Bored,Iyengar Yoga
I’m just not feeling anything today,Bored,Iyengar Yoga
I can’t seem to focus on anything,Bored,Iyengar Yoga
Everything feels so repetitive today,Bored,Iyengar Yoga
I need something exciting to break up this boredom,Bored,Iyengar Yoga
I’m feeling so unmotivated today,Bored,Iyengar Yoga
I feel like I need something fresh,Bored,Iyengar Yoga
I can’t seem to find anything that interests me,Bored,Iyengar Yoga
I’m waiting for something exciting to happen,Bored,Iyengar Yoga
I’m bored with everything I’ve tried today,Bored,Iyengar Yoga
I just want to do something new,Bored,Iyengar Yoga
I’m feeling disconnected from everything,Bored,Iyengar Yoga
I can’t find anything that excites me,Bored,Iyengar Yoga
I feel like I’m just passing time,Bored,Iyengar Yoga
Everything feels so boring today,Bored,Iyengar Yoga
I don’t know what will make me feel better right now,Bored,Iyengar Yoga
I’m not sure what to do with myself,Bored,Iyengar Yoga
I feel like everything is moving too slowly,Bored,Iyengar Yoga
I can’t seem to find my focus,Bored,Iyengar Yoga
I’m just waiting for something fun to happen,Bored,Iyengar Yoga
Everything feels so uninspiring right now,Bored,Iyengar Yoga
I don’t feel engaged with anything today,Bored,Iyengar Yoga
I’m feeling so uninterested in everything around me,Bored,Iyengar Yoga
I feel like I need a change of scenery,Bored,Iyengar Yoga
"bit confident, bit something else...",Confident,Kundalini Yoga
confident ??? not sure tho.,Confident,Kundalini Yoga
Feeling sooo confident right now!,Confident,Kundalini Yoga
"confident-ish, or not?",Confident,Kundalini Yoga
"helppp, confident mood I think?",Confident,Kundalini Yoga
"IDK what I feel rn, maybe confident?",Confident,Kundalini Yoga
Kinda confident and excited at once.,Confident,Kundalini Yoga
"Confident and a bit anxious, I guess.",Confident,Kundalini Yoga
"coffee first, then confident mood",Confident,Kundalini Yoga
Feeling sooo confident right now!,Confident,Kundalini Yoga
Feeling confident but also okay.,Confident,Kundalini Yoga
Sorta confident... does that count?,Confident,Kundalini Yoga
"Probably confident, not sure though.",Confident,Kundalini Yoga
Feeling sooo confident right now!,Confident,Kundalini Yoga
Kinda confident and excited at once.,Confident,Kundalini Yoga
Sorta confident... does that count?,Confident,Kundalini Yoga
Kinda confident and excited at once.,Confident,Kundalini Yoga
"coffee first, then confident mood",Confident,Kundalini Yoga
"confident-ish, or not?",Confident,Kundalini Yoga
Somewhere between confident and fine.,Confident,Kundalini Yoga
Feeling confident but also okay.,Confident,Kundalini Yoga
feelin' kinda confident today,Confident,Kundalini Yoga
"IDK what I feel rn, maybe confident?",Confident,Kundalini Yoga
Feeling confident but also okay.,Confident,Kundalini Yoga
"bit confident, bit something else...",Confident,Kundalini Yoga
"IDK what I feel rn, maybe confident?",Confident,Kundalini Yoga
confident 🤔 but can't tell for sure.,Confident,Kundalini Yoga
"Not sure, confident? or something else?",Confident,Kundalini Yoga
Feeling sooo confident right now!,Confident,Kundalini Yoga
Feeling confident but also okay.,Confident,Kundalini Yoga
Feeling sooo confident right now!,Confident,Kundalini Yoga
"confident-ish, or not?",Confident,Kundalini Yoga
Feeling sooo confident right now!,Confident,Kundalini Yoga
"helppp, confident mood I think?",Confident,Kundalini Yoga
feelin' kinda confident today,Confident,Kundalini Yoga
confident ??? not sure tho.,Confident,Kundalini Yoga
confident 🤔 but can't tell for sure.,Confident,Kundalini Yoga
"Probably confident, not sure though.",Confident,Kundalini Yoga
Sorta confident... does that count?,Confident,Kundalini Yoga
"Confident and a bit anxious, I guess.",Confident,Kundalini Yoga
"IDK what I feel rn, maybe confident?",Confident,Kundalini Yoga
"helppp, confident mood I think?",Confident,Kundalini Yoga
Sorta confident... does that count?,Confident,Kundalini Yoga
"IDK what I feel rn, maybe confident?",Confident,Kundalini Yoga
"IDK what I feel rn, maybe confident?",Confident,Kundalini Yoga
Kinda confident and excited at once.,Confident,Kundalini Yoga
feelin' kinda confident today,Confident,Kundalini Yoga
"Probably confident, not sure though.",Confident,Kundalini Yoga
"Honestly, no clue, but maybe confident.",Confident,Kundalini Yoga
Sorta confident... does that count?,Confident,Kundalini Yoga
Somewhere between confident and fine.,Confident,Kundalini Yoga
Sorta confident... does that count?,Confident,Kundalini Yoga
"Honestly, no clue, but maybe confident.",Confident,Kundalini Yoga
"coffee first, then confident mood",Confident,Kundalini Yoga
"Not sure, confident? or something else?",Confident,Kundalini Yoga
"IDK what I feel rn, maybe confident?",Confident,Kundalini Yoga
"helppp, confident mood I think?",Confident,Kundalini Yoga
confident ??? not sure tho.,Confident,Kundalini Yoga
"Not sure, confident? or something else?",Confident,Kundalini Yoga
"Confident and a bit anxious, I guess.",Confident,Kundalini Yoga
"helppp, confident mood I think?",Confident,Kundalini Yoga
Feeling confident but also okay.,Confident,Kundalini Yoga
"Not sure, confident? or something else?",Confident,Kundalini Yoga
Kinda confident and excited at once.,Confident,Kundalini Yoga
Feeling sooo confident right now!,Confident,Kundalini Yoga
"Honestly, no clue, but maybe confident.",Confident,Kundalini Yoga
Feeling sooo confident right now!,Confident,Kundalini Yoga
Sorta confident... does that count?,Confident,Kundalini Yoga
Just confident vibes rn...,Confident,Kundalini Yoga
confident 🤔 but can't tell for sure.,Confident,Kundalini Yoga
Feeling confident but also okay.,Confident,Kundalini Yoga
Just confident vibes rn...,Confident,Kundalini Yoga
"helppp, confident mood I think?",Confident,Kundalini Yoga
"bit confident, bit something else...",Confident,Kundalini Yoga
confident 🤔 but can't tell for sure.,Confident,Kundalini Yoga
confident 🤔 but can't tell for sure.,Confident,Kundalini Yoga
"IDK what I feel rn, maybe confident?",Confident,Kundalini Yoga
Feeling sooo confident right now!,Confident,Kundalini Yoga
"coffee first, then confident mood",Confident,Kundalini Yoga
confident ??? not sure tho.,Confident,Kundalini Yoga
"confident-ish, or not?",Confident,Kundalini Yoga
"Honestly, no clue, but maybe confident.",Confident,Kundalini Yoga
Just confident vibes rn...,Confident,Kundalini Yoga
confident 🤔 but can't tell for sure.,Confident,Kundalini Yoga
"Honestly, no clue, but maybe confident.",Confident,Kundalini Yoga
Sorta confident... does that count?,Confident,Kundalini Yoga
"Not sure, confident? or something else?",Confident,Kundalini Yoga
"bit confident, bit something else...",Confident,Kundalini Yoga
"Honestly, no clue, but maybe confident.",Confident,Kundalini Yoga
feelin' kinda confident today,Confident,Kundalini Yoga
"helppp, confident mood I think?",Confident,Kundalini Yoga
"IDK, but it feels confident somehow.",Confident,Kundalini Yoga
Feeling sooo confident right now!,Confident,Kundalini Yoga
"Ugh, IDK maybe confident 😞",Confident,Kundalini Yoga
"Ugh, IDK maybe confident 😞",Confident,Kundalini Yoga
"helppp, confident mood I think?",Confident,Kundalini Yoga
"Honestly, no clue, but maybe confident.",Confident,Kundalini Yoga
"IDK, but it feels confident somehow.",Confident,Kundalini Yoga
"IDK what I feel rn, maybe confident?",Confident,Kundalini Yoga
Just confident vibes rn...,Confident,Kundalini Yoga
I achieved my goals with ease,Confident,Kundalini Yoga
I feel unstoppable and ready now,Confident,Kundalini Yoga
This accomplishment proves my inner strength,Confident,Kundalini Yoga
I trust in my own abilities,Confident,Kundalini Yoga
I’m proud of what I’ve done,Confident,Kundalini Yoga
This victory is mine to claim,Confident,Kundalini Yoga
I’m on top and can’t stop,Confident,Kundalini Yoga
Success feels natural to me now,Confident,Kundalini Yoga
I have all the power within,Confident,Kundalini Yoga
My confidence is soaring through the roof,Confident,Kundalini Yoga
I am exactly where I belong,Confident,Kundalini Yoga
I know I can do anything,Confident,Kundalini Yoga
There’s nothing I can’t accomplish now,Confident,Kundalini Yoga
I feel at peace with myself,Confident,Kundalini Yoga
My strength lies in my mind,Confident,Kundalini Yoga
I trust myself and my decisions,Confident,Kundalini Yoga
Every challenge makes me even stronger,Confident,Kundalini Yoga
My power is limitless right now,Confident,Kundalini Yoga
I stand tall and proud today,Confident,Kundalini Yoga
My mind is clear and strong,Confident,Kundalini Yoga
I am the master of this,Confident,Kundalini Yoga
I feel unstoppable and unshakable now,Confident,Kundalini Yoga
Nothing can take away my confidence,Confident,Kundalini Yoga
I’ve earned every bit of success,Confident,Kundalini Yoga
My energy flows with confidence now,Confident,Kundalini Yoga
I trust my path and decisions,Confident,Kundalini Yoga
I’m capable of achieving everything I want,Confident,Kundalini Yoga
I am grounded and strong right now,Confident,Kundalini Yoga
I am in control of everything,Confident,Kundalini Yoga
My self-belief is unbreakable today,Confident,Kundalini Yoga
I radiate confidence and strength now,Confident,Kundalini Yoga
I feel empowered by my own will,Confident,Kundalini Yoga
My confidence grows with every step,Confident,Kundalini Yoga
I am proud of who I’ve become,Confident,Kundalini Yoga
I believe in myself and my journey,Confident,Kundalini Yoga
Nothing can hold me back now,Confident,Kundalini Yoga
I am ready for anything that comes,Confident,Kundalini Yoga
I have everything I need to succeed,Confident,Kundalini Yoga
My confidence keeps me moving forward,Confident,Kundalini Yoga
I have complete faith in myself,Confident,Kundalini Yoga
My path is clear and certain,Confident,Kundalini Yoga
I am the creator of my destiny,Confident,Kundalini Yoga
I am in control of my life,Confident,Kundalini Yoga
I feel strong and capable right now,Confident,Kundalini Yoga
